member_id,chamber,congress,number,date,year,category,requires,vote_id,question,bill,amendment,vote,bill_title,amendment_title,text
S223,s,106.0,1.0,2000-02-01T14:21:00-05:00,2000,procedural,1/2,s1-106.2000,On the Motion to Table S.Amdt. 2538 to S. 625 (Bankruptcy Judgeship Act of 1999),"{""title"": ""Bankruptcy Judgeship Act of 1999"", ""type"": ""s"", ""number"": 625, ""congress"": 106}","{""type"": ""s"", ""number"": 2538, ""purpose"": ""To make an amendment with respect to the disallowance of certain claims and to prohibit certain coercive debt collection practices.""}",0.0,Bankruptcy Judgeship Act of 1999,,On the Motion to Table S.Amdt.  to S.  (Bankruptcy Judgeship Act of ) Bankruptcy Judgeship Act of  
S223,s,106.0,10.0,2000-02-10T14:03:00-05:00,2000,nomination,1/2,s10-106.2000,"On the Nomination PN597: Thomas L. Ambro, of Delaware, to be United States Circuit Judge for the Third Circuit",null,null,1.0,,,"On the Nomination PN: Thomas L. Ambro, of Delaware, to be United States Circuit Judge for the Third Circuit  "
S223,s,106.0,100.0,2000-05-16T17:56:00-04:00,2000,procedural,1/2,s100-106.2000,"On the Motion to Table S.Amdt. 3148 to S. 2521 (Military Construction Appropriations Act, 2001)","{""title"": ""Military Construction Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2521, ""congress"": 106}","{""type"": ""s"", ""number"": 3148, ""purpose"": ""To express the sense of the Senate with regard to the Million Mom March and gun safety legislation.""}",1.0,"Military Construction Appropriations Act, 2001",,"On the Motion to Table S.Amdt.  to S.  (Military Construction Appropriations Act, ) Military Construction Appropriations Act,  "
S223,s,106.0,101.0,2000-05-16T18:25:00-04:00,2000,procedural,1/2,s101-106.2000,"On the Motion to Proceed PN986: Jose Antonio Perez, of California, to be United States Marshal for the Central District of California for the term of four years vice Michael R. Ramon, resigned",null,null,1.0,,,"On the Motion to Proceed PN: Jose Antonio Perez, of California, to be United States Marshal for the Central District of California for the term of four years vice Michael R. Ramon, resigned  "
S223,s,106.0,102.0,2000-05-17T14:55:00-04:00,2000,procedural,1/2,s102-106.2000,"On the Decision of the Chair S.Amdt. 3150 to S. 2521 (Military Construction Appropriations Act, 2001)","{""title"": ""Military Construction Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2521, ""congress"": 106}","{""type"": ""s"", ""number"": 3150, ""purpose"": ""To express the sense of the Senate with regard to the Second Amendment of the U.S. Constitution, the enforcement of Federal firearms laws, and the juvenile crime conference.""}",1.0,"Military Construction Appropriations Act, 2001",,"On the Decision of the Chair S.Amdt.  to S.  (Military Construction Appropriations Act, ) Military Construction Appropriations Act,  "
S223,s,106.0,103.0,2000-05-17T15:29:00-04:00,2000,amendment,1/2,s103-106.2000,"On the Amendment S.Amdt. 3150 to S. 2521 (Military Construction Appropriations Act, 2001)","{""title"": ""Military Construction Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2521, ""congress"": 106}","{""type"": ""s"", ""number"": 3150, ""purpose"": ""To express the sense of the Senate with regard to the Second Amendment of the U.S. Constitution, the enforcement of Federal firearms laws, and the juvenile crime conference.""}",0.0,"Military Construction Appropriations Act, 2001",,"On the Amendment S.Amdt.  to S.  (Military Construction Appropriations Act, ) Military Construction Appropriations Act,  "
S223,s,106.0,104.0,2000-05-17T15:50:00-04:00,2000,amendment,1/2,s104-106.2000,"On the Amendment S.Amdt. 3148 to S. 2521 (Military Construction Appropriations Act, 2001)","{""title"": ""Military Construction Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2521, ""congress"": 106}","{""type"": ""s"", ""number"": 3148, ""purpose"": ""To express the sense of the Senate with regard to the Million Mom March and gun safety legislation.""}",1.0,"Military Construction Appropriations Act, 2001",,"On the Amendment S.Amdt.  to S.  (Military Construction Appropriations Act, ) Military Construction Appropriations Act,  "
S223,s,106.0,105.0,2000-05-18T14:35:00-04:00,2000,amendment,1/2,s105-106.2000,"On the Amendment S.Amdt. 3154 to S. 2521 (Military Construction Appropriations Act, 2001)","{""title"": ""Military Construction Appropriations Act, 2001"", ""type"": ""s"", ""number"": 2521, ""congress"": 106}","{""type"": ""s"", ""number"": 3154, ""purpose"": ""To strike certain provisions which requires ground troops be withdrawn from Kosovo by a fixed date.""}",1.0,"Military Construction Appropriations Act, 2001",,"On the Amendment S.Amdt.  to S.  (Military Construction Appropriations Act, ) Military Construction Appropriations Act,  "
S223,s,106.0,106.0,2000-05-18T15:05:00-04:00,2000,passage,1/2,s106-106.2000,On Passage of the Bill H.R. 4425,"{""title"": ""A bill making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2001, and for other purposes."", ""type"": ""hr"", ""number"": 4425, ""congress"": 106}",null,1.0,"A bill making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2001, and for other purposes.",,"On Passage of the Bill H.R.  A bill making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September , , and for other purposes. "
S223,s,106.0,107.0,2000-05-24T15:11:00-04:00,2000,nomination,1/2,s107-106.2000,"On the Nomination PN814: Bradley A. Smith, of Ohio, to be a Member of the Federal Election Commission for a term expiring April 30, 2005",null,null,0.0,,,"On the Nomination PN: Bradley A. Smith, of Ohio, to be a Member of the Federal Election Commission for a term expiring April ,   "
